Songtitle,Artist(s),uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
River Flows In You - Original,['Yiruma'],spotify:track:47ZWr1Nb0PUgmKgyg5JkgO,0.31,0.218,9,-21.398,1,0.0507,0.988,0.952,0.085,0.0969,145.074
"Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",['Eric Clapton'],spotify:track:612VcBshQcy4mpB2utGc3H,0.695,0.336,9,-12.999,1,0.0313,0.8,0.00264,0.701,0.422,79.109
Eenie Meenie,"['Justin Bieber', 'Sean Kingston']",spotify:track:75vEuMA15pb8JmgrGugHEs,0.718,0.588,1,-4.192,1,0.0318,0.0525,0.0,0.0991,0.812,121.22
Year 3000,['Jonas Brothers'],spotify:track:6vpQluFwjbt4ZEl8mw6swS,0.661,0.861,11,-5.841,1,0.0465,0.00374,1.15e-06,0.32,0.771,106.962
Push It,['O.T. Genasis'],spotify:track:448hNuS6TH90bjpIHIJqH3,0.971,0.621,11,-5.447,1,0.237,0.143,3.22e-06,0.108,0.445,128.053
Impossible,['Shontelle'],spotify:track:45EDI3rk0f4cAMt9f8b56R,0.599,0.624,8,-3.631,1,0.0343,0.385,0.0,0.125,0.539,90.034
Cold,"['Maroon 5', 'Future']",spotify:track:52yOf7Ls1u5AO3cFIzQ58m,0.7,0.714,9,-6.295,0,0.104,0.122,0.0,0.0428,0.458,99.909
All Night (feat. Knox Fortune),"['Chance the Rapper', 'Knox Fortune']",spotify:track:60xaS8mYBKUW4VQQ666N0T,0.704,0.777,2,-5.729,1,0.195,0.0358,0.0,0.151,0.392,111.921
Juke Jam (feat. Justin Bieber & Towkio),"['Chance the Rapper', 'Justin Bieber', 'Towkio']",spotify:track:3eze1OsZ1rqeXkKStNfTmi,0.505,0.397,5,-9.349,1,0.324,0.716,0.0,0.0853,0.558,95.063
Mixtape (feat. Young Thug & Lil Yachty),"['Chance the Rapper', 'Young Thug', 'Lil Yachty']",spotify:track:0WCbhE2evMrIwRM0DlMy9k,0.838,0.43,1,-5.868,1,0.281,0.0498,1.59e-05,0.0977,0.126,126.981
Kno The Meaning,['Future'],spotify:track:2depzNvnAgMFKYnm3moXIc,0.875,0.381,5,-7.176,0,0.379,0.207,4.87e-06,0.104,0.318,100.014
I Am Machine,['Three Days Grace'],spotify:track:2UDumaw7osnyjH7RZ2DLpB,0.402,0.97,2,-4.538,0,0.0668,1.29e-05,2.62e-06,0.189,0.476,75.106
Never Too Late,['Three Days Grace'],spotify:track:3HE50TVRquwXe9yv2HFoNL,0.433,0.778,2,-4.68,0,0.0371,0.00838,0.0,0.163,0.217,149.864
Riot,['Three Days Grace'],spotify:track:1Q2fYlSdwuutWj3QplhY9q,0.185,0.948,8,-3.892,1,0.147,0.0104,0.0,0.105,0.316,196.578
I Hate Everything About You,['Three Days Grace'],spotify:track:6rUp7v3l8yC4TKxAAR5Bmx,0.498,0.83,6,-5.157,0,0.0421,0.00461,0.0,0.139,0.453,89.342
Seventeen,['Rich Brian'],spotify:track:5Mbz3t8k16WjlDkmXBxmlf,0.8,0.392,11,-15.392,1,0.358,0.417,1.66e-05,0.448,0.285,144.999
Dat $tick,['Rich Brian'],spotify:track:4bdJHQp90ymjEIkkYhcENB,0.923,0.508,1,-8.668,1,0.0468,0.104,1.21e-05,0.126,0.168,108.039
Cave Me In,"['Gallant', 'Tablo', 'Eric Nam']",spotify:track:79ptYtWnpAnsQutzg2xSFk,0.689,0.512,1,-6.206,1,0.0509,0.346,2.07e-06,0.106,0.619,90.091
Dímelo,"['Snakehips', 'Tory Lanez']",spotify:track:6Xi897JXNLSoIaoYZwgTLc,0.566,0.444,7,-12.069,0,0.147,0.0522,0.0,0.158,0.161,146.991
Act Different,"['Sik-K', 'Mac Kidd']",spotify:track:0OFMDmL9dfbuNa31cMYdHW,0.765,0.779,11,-6.023,0,0.084,0.409,0.0,0.107,0.856,119.963
Rendezvous,['Sik-K'],spotify:track:4Z2mXXSzuCDEHZtFGmy0X5,0.855,0.482,7,-6.673,1,0.0332,0.0277,0.0,0.116,0.654,109.995
Born to Lead,['Falling In Reverse'],spotify:track:7tSeCwxEuv5kQWbA3yBHMy,0.408,0.984,10,-3.421,0,0.0997,0.000701,0.0,0.0622,0.374,174.074
Free Bird,['Lynyrd Skynyrd'],spotify:track:5EWPGh7jbTNO2wakv8LjUI,0.249,0.834,0,-8.21,1,0.0577,0.0738,9.48e-05,0.0924,0.338,118.223
Freakshow,['Rone'],spotify:track:7AWlVWstGjmTmFZACsVkJL,0.527,0.601,10,-7.673,1,0.157,0.00488,0.000223,0.389,0.281,81.548
Both (feat. Drake),"['Gucci Mane', 'Drake']",spotify:track:5tFep7dXGd7vEJ668wTPux,0.85,0.405,7,-7.509,0,0.225,0.119,0.000118,0.0707,0.344,139.976
DRUGS,['lil aaron'],spotify:track:5UShsJdqJLZkl5JNj1ITlP,0.475,0.776,0,-4.745,1,0.039,0.000715,0.0,0.597,0.561,165.088
Reflections,['MisterWives'],spotify:track:2PtBhfoPZ6VYtXkrE5FrCH,0.683,0.675,2,-5.461,1,0.0292,0.0223,0.0187,0.101,0.6,111.008
Don't Leave,"['Snakehips', 'MØ']",spotify:track:0Zx8khUcEfCFK2AEoIhC92,0.657,0.703,1,-3.402,1,0.0753,0.222,0.0,0.256,0.338,122.381
By Your Side,"['Jonas Blue', 'RAYE']",spotify:track:51NBMjiv4t1nUiLC9Bim3G,0.696,0.743,6,-3.851,1,0.0329,0.0773,0.0,0.0587,0.636,123.007
Hear Me Now,"['Alok', 'Bruno Martini', 'Zeeba']",spotify:track:6OnYQKTc5fbSGbIpaH4KxL,0.788,0.43,11,-7.757,1,0.0419,0.537,0.00261,0.0936,0.461,121.996
Not Going Home,"['DVBBS', 'CMC$', 'Gia Koka']",spotify:track:2PuHj0tUOKud6fVKTZUXRO,0.749,0.747,6,-6.457,1,0.121,0.0938,1.17e-05,0.256,0.475,109.063
Light,['San Holo'],spotify:track:74Ru27B7Jx8mBt5MGvGLLv,0.572,0.754,1,-4.148,1,0.0564,0.0949,1.86e-06,0.0985,0.423,150.068
Just Hold On,"['Steve Aoki', 'Louis Tomlinson']",spotify:track:3EmmCZoqpWOTY1g2GBwJoR,0.647,0.932,11,-3.515,1,0.0824,0.00383,1.5e-06,0.0574,0.374,114.991
Paris,['The Chainsmokers'],spotify:track:15vzANxN8G9wWfwAJLLMCg,0.646,0.644,2,-6.763,1,0.031,0.0243,0.0,0.0888,0.251,99.999
The A Team,['Ed Sheeran'],spotify:track:1VdZ0vKfR5jneCmWIUAMxK,0.642,0.289,9,-9.918,1,0.0367,0.669,0.0,0.18,0.407,84.996
Shape of You,['Ed Sheeran'],spotify:track:0FE9t6xYkqWXU2ahLh6D8X,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977
Castle on the Hill,['Ed Sheeran'],spotify:track:66qlqxhEMpSHOzjRK4il0b,0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14e-05,0.14,0.471,135.007
How Far I'll Go,"[""Auli'i Cravalho""]",spotify:track:6mb6lVLNrcUgLnEN8QnDJd,0.571,0.307,1,-10.958,0,0.0499,0.649,0.0,0.178,0.108,83.72
I Don't Like,"['Chief Keef', 'Lil Reese']",spotify:track:2ikkgfIIM9kGKZCXzXnTpj,0.742,0.844,2,-4.622,1,0.0479,0.000634,0.0,0.0659,0.416,131.986
Love Sosa,['Chief Keef'],spotify:track:4IowQDUOzUvNtp72HMDcKO,0.772,0.413,0,-8.193,0,0.089,0.0361,0.0,0.111,0.211,131.965
Hate Bein' Sober,"['Chief Keef', '50 Cent', 'Wiz Khalifa']",spotify:track:3SuzCeGoNOWmbWOoDMou0B,0.82,0.47,8,-7.181,1,0.0458,0.00435,0.0,0.141,0.313,132.003
Don't Like.1,"['Kanye West', 'Chief Keef', 'Pusha T', 'Big Sean', 'Jadakiss']",spotify:track:12D0n7hKpPcjuUpcbAKjjr,0.668,0.628,6,-5.327,0,0.205,0.00822,0.0,0.145,0.621,131.88
Gave It All I Got,['Kodak Black'],spotify:track:6O5plClCxL4fZFgsMRAYgT,0.684,0.609,1,-8.638,1,0.0786,0.523,0.0,0.132,0.253,145.075
Like Dat,['Kodak Black'],spotify:track:788NX6uCNEVuZW8x5BkQqM,0.849,0.476,8,-8.455,1,0.182,0.0291,0.0,0.0589,0.482,134.955
No Flockin',['Kodak Black'],spotify:track:34oWbFBfGEElvgO0a5c9V4,0.943,0.595,5,-8.372,0,0.191,0.0673,0.0,0.0839,0.815,117.532
Skrt,['Kodak Black'],spotify:track:5v7kaZNsnyByrSJOfO8gKq,0.901,0.352,2,-10.038,1,0.0916,0.585,0.0,0.122,0.199,111.065
Hold Back The River,['James Bay'],spotify:track:7tmtOEDxPN7CWaQWBsG1DY,0.715,0.715,5,-7.364,1,0.0904,0.0526,0.0,0.0936,0.506,134.923
Thunderstruck,['AC/DC'],spotify:track:57bgtoPSgt236HzfBOd8kj,0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52
Back In Black,['AC/DC'],spotify:track:08mG3Y1vljYA6bvDt4Wqkj,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386
Chasing Pavements,['Adele'],spotify:track:59tg0OPhiHlbsVZ9GFqUk5,0.615,0.472,5,-6.073,0,0.0267,0.325,0.0,0.115,0.327,80.072
When We Were Young,['Adele'],spotify:track:7IWkJwX9C0J7tHurTD7ViL,0.381,0.594,3,-5.97,1,0.0486,0.348,0.0,0.0925,0.273,143.86
You're Welcome,['Dwayne Johnson'],spotify:track:6U4VqEHy4n5VeiH4pQPL24,0.788,0.745,5,-7.072,1,0.258,0.29,0.0,0.0373,0.672,135.278
iSpy,"['KYLE', 'Lil Yachty']",spotify:track:0WjYgf4qH3B0v0HmW61doL,0.746,0.653,7,-6.745,1,0.289,0.378,0.0,0.229,0.672,75.016
Deja Vu,['J. Cole'],spotify:track:6I6NX6tjGsxFAsIfGzY9lJ,0.657,0.421,9,-11.378,1,0.412,0.352,0.000218,0.187,0.181,174.063
For Whom The Bell Tolls,['J. Cole'],spotify:track:3MWlVSkoLS1e66nlZ2tuWJ,0.595,0.416,10,-10.957,0,0.0366,0.536,0.0,0.293,0.185,74.556
Caroline,['Aminé'],spotify:track:5GFDrUTLGJix84sNhjCG0g,0.945,0.394,10,-8.571,1,0.492,0.303,0.0,0.131,0.743,120.058
Kill Em With Kindness,['Selena Gomez'],spotify:track:7KxhSJOYiqCDclXDBNlFSZ,0.757,0.884,10,-5.488,0,0.0404,0.00795,5.87e-05,0.0973,0.398,120.012
Low Life (feat. The Weeknd),"['Future', 'The Weeknd']",spotify:track:7EiZI6JVHllARrX9PUvAdX,0.722,0.331,8,-7.789,1,0.0725,0.337,0.283,0.146,0.102,143.974
